package_name,label,timestamp,reflection_invoke_count,dex_class_loader_count,runtime_exec_count,dynamic_class_load_count,getPackageInfo_count,sendTextMessage_count,getDeviceId_count,getSubscriberId_count,cipher_init_count,cipher_aes_count,cipher_des_count,secret_key_gen_count,base64_encode_count,system_exit_attempt,debugger_check_count,emulator_check_count,root_check_count,sleep_call_count,stack_trace_inspect_count,secure_random_count,verify_attempt_count,string_decrypt_count,native_lib_load_count,implicit_intent_count,startActivity_count,sendBroadcast_count,bindService_count,content_resolver_query_count,content_resolver_insert_count,file_write_count,file_read_sensitive_count,shared_prefs_write_count,openFileOutput_count,deleteFile_count,getExternalStorageDirectory_count,socket_create_count,url_connection_count,ssl_bypass_attempt,dns_lookup_count,setRequestProperty_count,alarm_manager_set_count,job_scheduler_count,register_receiver_count,requestPermission_count,setComponentEnabled_count,thread_create_count,process_list_query_count,memory_alloc_large_count,class_loader_parent_count,native_method_register_count,accessibility_query_count,overlay_window_count,clipboard_read_count,clipboard_write_count,http_get_count,http_post_count,websocket_count,ssl_bypass_count,aes_encrypt_count,rsa_count,hash_md5_count,hash_sha_count,base64_enc_count,base64_dec_count,location_gps_count,location_net_count,camera_open_count,mic_record_count,sms_read_count,call_log_count,file_delete_count,pkg_install_count,pkg_enum_count,notif_listen_count,screen_capture_count,input_inject_count,acc_action_count,acc_window_count,foreground_service_count,network_score,anti_analysis_score,persistence_score,stealth_score,exfil_score,privilege_score,surveillance_score,dynamic_exec_score,crypto_to_network_ratio,write_to_read_ratio,anti_to_total_ratio,reflection_to_exec_ratio,network_to_activity_ratio,has_crypto_and_network,has_exfil_pattern,has_evasion_pattern,has_persistence_pattern,has_privilege_escalation,has_sms_exfil,has_full_spy_pattern,network_score_per_sec,anti_analysis_score_per_sec,stealth_score_per_sec,dynamic_exec_score_per_sec,reflection_rate,network_events_rate,file_write_rate,crypto_rate,anti_analysis_rate,dynamic_load_rate,log1p_reflection_invoke,log1p_dns_lookup,log1p_shared_prefs_write,log1p_file_read_sensitive,log1p_stack_trace_inspect,log1p_file_write,first_network_ms,first_crypto_ms,first_anti_analysis_ms,first_file_write_ms,first_reflection_ms,first_exec_ms,first_sms_ms,first_dynamic_load_ms,burst_peak_count,session_duration_ms,early_network_flag,early_anti_analysis_flag,crypto_before_network,rapid_burst_flag,early_exec_flag,early_file_write_flag,early_crypto_flag,delta_exec_after_reflection,delta_network_after_file,delta_network_after_crypto,delta_reflection_after_dex,session_anomaly_flag,seq_reflect_before_exec,seq_crypto_before_network,seq_root_check_before_exit,seq_dex_then_reflect,seq_anti_before_payload,seq_file_then_network,seq_contact_then_sms,seq_triple_chain_count,seq_max_chain_length,seq_alternating_crypto_net,seq_reflect_exec_count,seq_dex_reflect_count,seq_file_network_count,seq_crypto_network_count,seq_anti_exec_count,seq_first_reflect_exec_ms,seq_first_dex_reflect_ms,seq_first_file_network_ms,seq_first_crypto_network_ms,seq_first_anti_exec_ms,seq_surveil_before_network,seq_persist_before_exec,seq_clipboard_before_network,seq_overlay_before_network,seq_surveil_network_count,seq_clipboard_network_count,seq_first_surveil_network_ms,seq_first_clipboard_network_ms
com.donutgames.microbattles2,malware,2026-05-09 20:07:13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,1,6,0,0,1,0,0,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,6,0,0,1,0.0,1.0,0.1064,0.0,1.0,0,0,1,0,0,0,0,0.008,0.0399,0.008,0.008,0.0,0.008,0.0399,0.0,0.0,0.0,0.0,0.0,0.0,1.7918,0.6931,1.7918,587,-1,499,1194,-1,-1,-1,-1,41,125325,1,1,0,1,0,1,0,-1,-607,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1
mmac.some.doc.xiugai,malware,2026-05-09 20:07:16,6,0,16,2,24,0,6,4,25,25,0,0,0,0,0,0,0,4,0,0,0,0,0,13,0,5,0,0,0,32,36,14,2,38,20,21,22,0,26,0,0,0,0,0,0,20,4,0,0,0,409,0,0,0,0,0,0,0,4,0,4,0,0,32,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,69,4,0,8,126,4,34,22,0.3623,0.8889,0.0047,0.375,69.0,1,0,1,0,0,0,0,0.5657,0.0328,0.0656,0.1804,0.0492,0.5657,0.2623,0.205,0.0,0.0164,1.9459,3.2958,2.7081,3.6109,0.0,3.4965,231,540,-1,430,41502,474,-1,41501,364,121976,1,0,0,1,1,1,1,-41028,-199,-309,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1
test.app,malware,2026-05-09 20:07:21,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,1,0,2,0,0.0,0.0,0.0196,0.0,1.0,0,0,0,0,0,0,0,0.0081,0.0242,0.0081,0.0,0.0,0.0081,0.0,0.0,0.0,0.0081,0.0,0.6931,0.0,0.0,0.0,0.0,17077,-1,19470,-1,-1,-1,-1,17072,38,123860,0,0,0,1,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1
com.kranx.kbl,malware,2026-05-09 20:07:57,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,7,8,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,1,7,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.7168,0.0,0.0,0.0,5.0179,0.0,0.0,0.7168,0.0,0.0,2.1972,2.0794,0.0,2.0794,-1,-1,-1,296,-1,-1,-1,260,39,1395,0,0,0,1,0,1,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1
com.gameloft.android.ANMP.GloftINHM,malware,2026-05-09 20:10:07,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,7,8,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,1,1,7,0,0,0,0.0,1.0,0.0195,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0247,0.0082,0.0,0.0,0.0,0.0576,0.0,0.0,0.0082,0.0,0.0,2.1972,2.0794,0.0,2.0794,-1,-1,2396,920,-1,-1,-1,906,153,121557,0,1,0,1,0,1,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1
fi.app4.fap,malware,2026-05-09 20:10:29,10,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,13,0,1,0,0,0,141,141,19,0,142,0,2,4,0,6,0,3,0,2,0,0,1,0,0,0,0,231,0,0,0,0,0,0,0,0,0,16,25,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,12,7,5,12,153,0,3,10,0.0,1.0,0.0077,10.0,12.0,0,0,1,1,0,0,0,0.0983,0.0574,0.0983,0.0819,0.0819,0.0983,1.1554,0.0,0.0,0.0164,2.3979,1.9459,2.9957,4.9558,0.0,4.9558,860,-1,-1,568,1171,-1,-1,851,234,122036,1,0,0,1,0,1,0,-1,292,-1,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1
com.feelingtouch.crossx,malware,2026-05-09 20:11:57,1,0,1,4,1,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,6,6,27,0,6,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,103,24,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,4,0,6,9,0,2,3,0.0,1.0,0.0196,1.0,3.0,0,0,1,0,0,0,0,0.024,0.0321,0.0481,0.024,0.008,0.024,0.0481,0.0,0.0,0.0321,0.6931,1.0986,3.3322,1.9459,0.0,1.9459,518,-1,717,558,120,501,-1,571,104,124761,1,1,0,1,1,1,0,381,-40,-1,-451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1
com.futurnal.beautywall,malware,2026-05-09 20:13:45,16,5,0,18,30,0,7,36,32,5,0,0,2,0,0,0,0,2,0,0,0,0,0,43,2,1,0,0,0,20,20,4,0,18,1,11,19,0,120,0,1,0,0,0,0,8,0,0,0,0,169,0,0,0,0,0,0,0,2,0,3,0,2,3,0,0,0,0,0,0,18,0,2,0,0,0,0,0,0,150,2,1,39,204,0,73,21,0.2133,1.0,0.0032,16.0,75.0,1,1,1,0,0,0,0,1.232,0.0164,0.3203,0.1725,0.1314,1.232,0.1643,0.2628,0.0,0.1478,2.8332,4.7958,1.6094,3.0445,0.0,3.0445,415,486,-1,483,497,-1,-1,464,220,121756,1,0,0,1,0,1,1,-1,-68,-71,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1
memeltet.meetimeltng.melomeltn,malware,2026-05-09 20:14:14,171,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,12,0,0,0,0,0,8,0,0,0,0,0,10,9,4,1,9,2,0,10,0,10,0,0,0,0,0,0,0,1,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,20,14,0,172,30,1,2,171,0.0,1.1111,0.0453,171.0,20.0,0,0,1,0,0,0,0,0.1643,0.115,1.4133,1.4051,1.4051,0.1643,0.0822,0.0,0.0,0.0082,5.1475,2.3979,1.6094,2.3026,0.0,2.3979,25889,-1,17094,521,514,-1,-1,17080,116,121701,0,0,0,1,0,1,0,-1,25368,-1,-16566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1
com.hudway.online,malware,2026-05-09 20:15:55,23,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,7,2,0,0,0,0,6,6,6,0,3,0,3,4,0,4,0,0,0,3,0,0,0,0,0,0,0,278,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,2,3,25,17,0,1,24,0.0,1.0,0.0055,23.0,5.5,0,0,1,0,0,0,0,0.0905,0.0164,0.2056,0.1974,0.1891,0.0905,0.0493,0.0,0.0,0.0082,3.1781,1.6094,1.9459,1.9459,0.0,1.9459,488,-1,1344,269,191,-1,-1,15881,360,121605,1,1,0,1,0,1,0,-1,219,-1,-15690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1
