package_name,label,timestamp,reflection_invoke_count,dex_class_loader_count,runtime_exec_count,dynamic_class_load_count,getPackageInfo_count,sendTextMessage_count,getDeviceId_count,getSubscriberId_count,cipher_init_count,cipher_aes_count,cipher_des_count,secret_key_gen_count,base64_encode_count,system_exit_attempt,debugger_check_count,emulator_check_count,root_check_count,sleep_call_count,stack_trace_inspect_count,secure_random_count,verify_attempt_count,string_decrypt_count,native_lib_load_count,implicit_intent_count,startActivity_count,sendBroadcast_count,bindService_count,content_resolver_query_count,content_resolver_insert_count,file_write_count,file_read_sensitive_count,shared_prefs_write_count,openFileOutput_count,deleteFile_count,getExternalStorageDirectory_count,socket_create_count,url_connection_count,ssl_bypass_attempt,dns_lookup_count,setRequestProperty_count,alarm_manager_set_count,job_scheduler_count,register_receiver_count,requestPermission_count,setComponentEnabled_count,thread_create_count,process_list_query_count,memory_alloc_large_count,class_loader_parent_count,native_method_register_count,accessibility_query_count,overlay_window_count,clipboard_read_count,clipboard_write_count,http_get_count,http_post_count,websocket_count,ssl_bypass_count,aes_encrypt_count,rsa_count,hash_md5_count,hash_sha_count,base64_enc_count,base64_dec_count,location_gps_count,location_net_count,camera_open_count,mic_record_count,sms_read_count,call_log_count,file_delete_count,pkg_install_count,pkg_enum_count,notif_listen_count,screen_capture_count,input_inject_count,acc_action_count,acc_window_count,foreground_service_count,network_score,anti_analysis_score,persistence_score,stealth_score,exfil_score,privilege_score,surveillance_score,dynamic_exec_score,crypto_to_network_ratio,write_to_read_ratio,anti_to_total_ratio,reflection_to_exec_ratio,network_to_activity_ratio,has_crypto_and_network,has_exfil_pattern,has_evasion_pattern,has_persistence_pattern,has_privilege_escalation,has_sms_exfil,has_full_spy_pattern,network_score_per_sec,anti_analysis_score_per_sec,stealth_score_per_sec,dynamic_exec_score_per_sec,reflection_rate,network_events_rate,file_write_rate,crypto_rate,anti_analysis_rate,dynamic_load_rate,log1p_reflection_invoke,log1p_dns_lookup,log1p_shared_prefs_write,log1p_file_read_sensitive,log1p_stack_trace_inspect,log1p_file_write,first_network_ms,first_crypto_ms,first_anti_analysis_ms,first_file_write_ms,first_reflection_ms,first_exec_ms,first_sms_ms,first_dynamic_load_ms,burst_peak_count,session_duration_ms,early_network_flag,early_anti_analysis_flag,crypto_before_network,rapid_burst_flag,early_exec_flag,early_file_write_flag,early_crypto_flag,delta_exec_after_reflection,delta_network_after_file,delta_network_after_crypto,delta_reflection_after_dex,session_anomaly_flag,seq_reflect_before_exec,seq_crypto_before_network,seq_root_check_before_exit,seq_dex_then_reflect,seq_anti_before_payload,seq_file_then_network,seq_contact_then_sms,seq_triple_chain_count,seq_max_chain_length,seq_alternating_crypto_net,seq_reflect_exec_count,seq_dex_reflect_count,seq_file_network_count,seq_crypto_network_count,seq_anti_exec_count,seq_first_reflect_exec_ms,seq_first_dex_reflect_ms,seq_first_file_network_ms,seq_first_crypto_network_ms,seq_first_anti_exec_ms,seq_surveil_before_network,seq_persist_before_exec,seq_clipboard_before_network,seq_overlay_before_network,seq_surveil_network_count,seq_clipboard_network_count,seq_first_surveil_network_ms,seq_first_clipboard_network_ms
com.spwebgames.blocks,malware,2026-05-10 09:28:45,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,2,0,0,0,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,0,8,0,0.0,1.0,0.004,0.0,1.0,0,0,0,0,0,0,0,0.0082,0.0082,0.0,0.0,0.0,0.0082,0.0082,0.0,0.0,0.0,0.0,0.0,1.0986,0.6931,0.0,0.6931,90307,-1,-1,17624,-1,-1,-1,-1,115,121682,0,0,0,1,0,0,0,-1,72683,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1
com.atomharbor.brownprint,malware,2026-05-10 09:28:53,0,0,1,1,0,0,1,4,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,74,0,0,0,4,0,16,16,7,0,16,0,0,0,0,8,0,10,0,0,0,1,0,0,0,0,0,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,16,0,2,0,0,0,0,0,0,8,2,11,1,24,1,9,1,0.0,1.0,0.0038,0.0,8.0,0,0,1,1,0,0,0,0.0651,0.0163,0.0081,0.0081,0.0,0.0651,0.1302,0.0,0.0,0.0081,0.0,2.1972,2.0794,2.8332,0.0,2.8332,10512,-1,-1,568,-1,59550,-1,59652,268,122862,0,0,0,1,0,1,0,-1,9944,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1
com.newskin.tai,malware,2026-05-10 09:29:26,264,0,34,2,15,0,5,4,11,8,0,0,1,10,0,0,0,4,183,0,0,0,0,134,5,1,0,2,0,5,5,10,0,6,642,6,5,0,5,0,1,0,3,0,0,7,296,0,0,0,270,0,0,0,0,0,0,0,5,3,1,5,1,3,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,16,197,4,266,33,296,26,298,0.6875,1.0,0.1001,7.7647,3.2,1,1,1,1,0,0,0,0.1317,1.622,2.1901,2.4536,2.1736,0.1317,0.0412,0.0906,0.0,0.0165,5.5797,1.7918,2.3979,1.7918,5.2149,1.7918,9211,9234,47739,17498,105,46953,-1,29520,406,121455,0,0,0,1,0,0,0,46848,-8287,-23,-29415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1
com.newskin.gun,malware,2026-05-10 09:31:28,264,0,0,2,32,0,9,8,8,5,0,0,2,0,0,0,4,4,0,0,0,0,0,166,2,1,0,2,0,8,8,9,0,9,752,6,8,0,10,0,1,0,4,0,0,6,281,0,0,0,112,0,0,0,0,0,0,0,4,3,13,7,2,3,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,24,8,5,266,42,281,51,264,0.3333,1.0,0.0045,264.0,12.0,1,1,1,1,0,0,0,0.1969,0.0656,2.1824,2.166,2.166,0.1969,0.0656,0.0656,0.0328,0.0164,5.5797,2.3979,2.3026,2.1972,0.0,2.1972,750,1649,59776,2951,121,-1,-1,75586,360,121886,1,0,0,1,0,1,1,-1,-2201,-899,-75465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1
com.blogace.hazelspace,malware,2026-05-10 09:32:05,0,0,1,1,0,0,1,5,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,75,0,0,0,4,0,15,15,7,0,15,0,0,0,0,9,0,11,0,0,0,1,0,0,0,0,0,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,15,0,2,0,0,0,0,0,0,9,2,12,1,24,1,10,1,0.0,1.0,0.0029,0.0,9.0,0,0,1,1,0,0,0,0.0738,0.0164,0.0082,0.0082,0.0,0.0738,0.123,0.0,0.0,0.0082,0.0,2.3026,2.0794,2.7726,0.0,2.7726,10501,-1,-1,528,-1,83226,-1,83326,264,121906,0,0,0,1,0,1,0,-1,9973,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1
com.gamepath.indicraft,malware,2026-05-10 09:32:52,0,0,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,66,0,0,0,4,0,15,15,6,0,15,0,0,0,0,9,0,9,0,0,0,1,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,15,0,1,0,0,0,0,0,0,9,1,10,1,24,1,8,1,0.0,1.0,0.003,0.0,9.0,0,0,1,1,0,0,0,0.0734,0.0082,0.0082,0.0082,0.0,0.0734,0.1224,0.0,0.0,0.0082,0.0,2.3026,1.9459,2.7726,0.0,2.7726,10898,-1,-1,528,-1,58732,-1,58817,184,122594,0,0,0,1,0,1,0,-1,10370,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1
com.aichess.rpg.lineage,malware,2026-05-10 09:34:02,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,0,0,0,0.0,0.0,0.0,0.0,3.0,0,0,0,0,0,0,0,0.0247,0.0,0.0082,0.0,0.0,0.0247,0.0,0.0,0.0,0.0082,0.0,0.6931,0.0,0.0,0.0,0.0,2317,-1,-1,-1,-1,-1,-1,2338,217,121675,1,0,0,1,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1
eu.cbexo.measuremappro,malware,2026-05-10 09:34:40,10,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,11,3,0,0,0,0,136,136,19,0,136,0,1,3,0,1,0,3,0,0,0,0,0,0,0,0,0,460,0,0,0,0,0,0,0,0,0,8,17,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,5,7,3,12,141,0,1,10,0.0,1.0,0.0064,10.0,1.6667,0,0,1,0,0,0,0,0.0412,0.0577,0.0989,0.0824,0.0824,0.0412,1.1205,0.0,0.0,0.0165,2.3979,0.6931,2.9957,4.92,0.0,4.92,448,-1,-1,414,390,-1,-1,440,300,121377,1,0,0,1,0,1,0,-1,34,-1,-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1
com.blueium.mybay,malware,2026-05-10 09:35:36,0,0,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,67,0,0,0,4,0,16,16,6,0,16,0,0,0,0,8,0,7,0,0,0,1,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,16,0,1,0,0,0,0,0,0,8,2,8,1,24,1,8,1,0.0,1.0,0.0059,0.0,8.0,0,0,1,1,0,0,0,0.0658,0.0165,0.0082,0.0082,0.0,0.0658,0.1317,0.0,0.0,0.0082,0.0,2.1972,1.9459,2.8332,0.0,2.8332,10456,-1,-1,490,-1,59609,-1,59684,185,121515,0,0,0,1,0,1,0,-1,9966,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1
ymezk.votfyo.maltest2,malware,2026-05-10 09:36:47,15,0,0,0,5,0,4,1,12,12,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0,1,1,1,0,1,0,2,4,1,4,0,0,0,0,0,0,0,0,0,0,0,223,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,1,0,15,23,0,10,15,1.2,1.0,0.0033,15.0,10.0,1,0,1,0,0,0,0,0.2242,0.0224,0.3363,0.3363,0.3363,0.2242,0.0224,0.269,0.0,0.0,2.7726,1.6094,0.6931,0.6931,0.0,0.6931,2083,2064,-1,2089,2073,-1,-1,-1,289,44603,1,0,1,1,0,1,1,-1,-6,19,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1
