package_name,label,timestamp,reflection_invoke_count,dex_class_loader_count,runtime_exec_count,dynamic_class_load_count,getPackageInfo_count,sendTextMessage_count,getDeviceId_count,getSubscriberId_count,cipher_init_count,cipher_aes_count,cipher_des_count,secret_key_gen_count,base64_encode_count,system_exit_attempt,debugger_check_count,emulator_check_count,root_check_count,sleep_call_count,stack_trace_inspect_count,secure_random_count,verify_attempt_count,string_decrypt_count,native_lib_load_count,implicit_intent_count,startActivity_count,sendBroadcast_count,bindService_count,content_resolver_query_count,content_resolver_insert_count,file_write_count,file_read_sensitive_count,shared_prefs_write_count,openFileOutput_count,deleteFile_count,getExternalStorageDirectory_count,socket_create_count,url_connection_count,ssl_bypass_attempt,dns_lookup_count,setRequestProperty_count,alarm_manager_set_count,job_scheduler_count,register_receiver_count,requestPermission_count,setComponentEnabled_count,thread_create_count,process_list_query_count,memory_alloc_large_count,class_loader_parent_count,native_method_register_count,accessibility_query_count,overlay_window_count,clipboard_read_count,clipboard_write_count,http_get_count,http_post_count,websocket_count,ssl_bypass_count,aes_encrypt_count,rsa_count,hash_md5_count,hash_sha_count,base64_enc_count,base64_dec_count,location_gps_count,location_net_count,camera_open_count,mic_record_count,sms_read_count,call_log_count,file_delete_count,pkg_install_count,pkg_enum_count,notif_listen_count,screen_capture_count,input_inject_count,acc_action_count,acc_window_count,foreground_service_count,network_score,anti_analysis_score,persistence_score,stealth_score,exfil_score,privilege_score,surveillance_score,dynamic_exec_score,crypto_to_network_ratio,write_to_read_ratio,anti_to_total_ratio,reflection_to_exec_ratio,network_to_activity_ratio,has_crypto_and_network,has_exfil_pattern,has_evasion_pattern,has_persistence_pattern,has_privilege_escalation,has_sms_exfil,has_full_spy_pattern,network_score_per_sec,anti_analysis_score_per_sec,stealth_score_per_sec,dynamic_exec_score_per_sec,reflection_rate,network_events_rate,file_write_rate,crypto_rate,anti_analysis_rate,dynamic_load_rate,log1p_reflection_invoke,log1p_dns_lookup,log1p_shared_prefs_write,log1p_file_read_sensitive,log1p_stack_trace_inspect,log1p_file_write,first_network_ms,first_crypto_ms,first_anti_analysis_ms,first_file_write_ms,first_reflection_ms,first_exec_ms,first_sms_ms,first_dynamic_load_ms,burst_peak_count,session_duration_ms,early_network_flag,early_anti_analysis_flag,crypto_before_network,rapid_burst_flag,early_exec_flag,early_file_write_flag,early_crypto_flag,delta_exec_after_reflection,delta_network_after_file,delta_network_after_crypto,delta_reflection_after_dex,session_anomaly_flag,seq_reflect_before_exec,seq_crypto_before_network,seq_root_check_before_exit,seq_dex_then_reflect,seq_anti_before_payload,seq_file_then_network,seq_contact_then_sms,seq_triple_chain_count,seq_max_chain_length,seq_alternating_crypto_net,seq_reflect_exec_count,seq_dex_reflect_count,seq_file_network_count,seq_crypto_network_count,seq_anti_exec_count,seq_first_reflect_exec_ms,seq_first_dex_reflect_ms,seq_first_file_network_ms,seq_first_crypto_network_ms,seq_first_anti_exec_ms,seq_surveil_before_network,seq_persist_before_exec,seq_clipboard_before_network,seq_overlay_before_network,seq_surveil_network_count,seq_clipboard_network_count,seq_first_surveil_network_ms,seq_first_clipboard_network_ms
com.test.t000004,malware,2026-05-10 10:38:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,32,121841,0,0,0,1,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1
g31fhsgzqxzl.gf,malware,2026-05-10 10:38:46,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,21,47,1,21,0,3,3,0,4,0,0,0,0,0,0,1,1,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,10,0,0,6,31,1,1,0,0.0,1.0,0.0,0.0,10.0,0,0,0,0,0,0,0,0.0821,0.0,0.0492,0.0,0.0,0.0821,0.1723,0.0,0.0,0.0492,0.0,1.6094,3.8712,3.091,0.0,3.091,485,-1,-1,478,-1,-1,-1,793,113,121874,1,0,0,1,0,1,0,-1,7,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1
com.botijo.FlappyDuck,malware,2026-05-10 10:38:56,0,0,0,0,0,0,2088,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,7,0,0,0,0,0,3,3,0,0,3,0,0,0,0,2088,0,0,0,1,0,0,0,0,0,0,0,845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2088,4,1,0,2091,0,2088,0,0.0,1.0,0.0008,0.0,2088.0,0,0,0,0,0,0,0,17.1289,0.0328,0.0,0.0,0.0,17.1289,0.0246,0.0,0.0,0.0,0.0,7.6444,0.0,1.3863,0.0,1.3863,31806,-1,-1,843,-1,-1,-1,-1,1419,121899,0,0,0,1,0,1,0,-1,30963,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1
com.bckalz.iphone5s,malware,2026-05-10 10:42:01,1,0,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,11,11,26,0,11,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,347,0,0,0,0,0,0,0,0,0,0,52,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,3,2,0,1,14,0,2,2,0.0,1.0,0.0041,1.0,1.5,0,0,1,0,0,0,0,0.0246,0.0164,0.0082,0.0164,0.0082,0.0246,0.0903,0.0,0.0,0.0,0.6931,0.0,3.2958,2.4849,0.0,2.4849,268,-1,15890,396,142,1120,-1,-1,360,121865,1,0,0,1,1,1,0,978,-128,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1
com.shoujiduoduo.ringtone,malware,2026-05-10 10:42:12,17,0,0,3,12,0,3,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,4,19,2,0,1,0,0,35,34,127,0,27,1,8,11,0,12,0,0,0,1,0,0,20,0,0,0,0,859,0,0,0,0,0,0,0,0,2,6,0,0,4,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,31,2,1,24,68,0,15,21,0.0645,1.0294,0.0016,17.0,15.5,1,0,1,0,0,0,0,0.2553,0.0165,0.1976,0.1729,0.14,0.2553,0.2882,0.0165,0.0,0.0247,2.8904,2.5649,4.852,3.5553,0.0,3.5835,239,5625,17510,222,556,-1,-1,558,1093,121448,1,0,0,1,0,1,0,-1,17,-5386,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1
com.shoujiduoduo.ringtone,malware,2026-05-10 10:42:47,38,0,0,45,14,0,5,1,30,29,0,0,22,0,0,0,0,2,0,3,0,0,4,17,1,0,1,0,0,34,32,129,0,29,4,6,9,4,10,0,0,0,4,0,0,16,4,0,0,0,197,0,0,0,0,0,0,4,20,1,20,14,22,11,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,25,2,4,87,111,4,20,42,1.2,1.0625,0.0025,38.0,25.0,1,1,1,0,0,0,0,0.1967,0.0157,0.6844,0.3304,0.2989,0.1967,0.2675,0.236,0.0,0.354,3.6636,2.3979,4.8675,3.4965,0.0,3.5553,219,414,-1,200,610,-1,-1,608,476,127114,1,0,0,1,0,1,1,-1,19,-195,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1
com.ninepvi.shield,malware,2026-05-10 10:44:47,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0061,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,473,-1,-1,-1,-1,-1,326,121945,0,1,0,1,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1
xsyjrxgdnxnw.zy_rlw,malware,2026-05-10 10:45:57,3,0,0,8,10,0,5,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,17,17,11,5,22,0,1,0,0,4,0,0,0,0,0,0,1,1,0,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,5,4,0,11,22,1,16,3,0.0,1.0,0.023,3.0,5.0,0,0,1,0,0,0,0,0.0409,0.0328,0.0901,0.0246,0.0246,0.0409,0.1392,0.0,0.0,0.0655,1.3863,1.6094,2.4849,2.8904,0.0,2.8904,14938,-1,19108,482,17562,-1,-1,531,109,122119,0,0,0,1,0,1,0,-1,14456,-1,17031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1
com.jree.jigsawpool,malware,2026-05-10 10:46:12,58,0,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,2,0,0,0,0,43,43,1,0,43,0,0,0,0,101,0,3,0,0,0,0,0,0,0,0,0,301,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,101,3,3,59,144,0,19,58,0.0,1.0,0.0033,58.0,50.5,0,0,1,0,0,0,0,0.8095,0.024,0.4729,0.4649,0.4649,0.8095,0.3447,0.0,0.0,0.008,4.0775,4.625,0.6931,3.7842,0.0,3.7842,6878,-1,-1,6821,6855,-1,-1,6839,256,124763,0,0,0,1,0,0,0,-1,57,-1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1
Cai7real.mah5Lure,malware,2026-05-10 10:47:21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,124,121830,0,0,0,1,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1
