macro_f1,roc_auc,pr_auc,fpr,fnr,benign_recall,tn,fp,fn,tp,model,strategy,threshold
0.7987,0.8366,0.7958,0.208,0.1947,0.792,2376,624,584,2416,BiLSTM,No adaptation (baseline),0.5
0.7979,0.8366,0.7958,0.1793,0.2247,0.8207,2462,538,674,2326,BiLSTM,Threshold recalib. (t=0.70),0.7
0.7922,0.8366,0.7958,0.1603,0.2543,0.8397,2519,481,763,2237,BiLSTM,Threshold recalib. (t=0.80),0.8
0.6542,0.8119,0.7847,0.1575,0.5123,0.8425,2401,449,1460,1390,BiLSTM,"Few-shot fine-tune (5%, n=300)",0.5
0.7957,0.8582,0.845,0.2559,0.1515,0.7441,2009,691,409,2291,BiLSTM,"Few-shot fine-tune (10%, n=600)",0.5
0.9099,0.9573,0.9687,0.065,0.115,0.935,561,39,69,531,BiLSTM,"Full fine-tune (upper bound, 80/20)",0.5
0.7746,0.8523,0.859,0.146,0.302,0.854,2562,438,906,2094,Transformer,No adaptation (baseline),0.5
0.7722,0.8523,0.859,0.13,0.3213,0.87,2610,390,964,2036,Transformer,Threshold recalib. (t=0.70),0.7
0.7693,0.8523,0.859,0.1227,0.3337,0.8773,2632,368,1001,1999,Transformer,Threshold recalib. (t=0.80),0.8
0.7647,0.8207,0.7894,0.2677,0.2025,0.7323,2087,763,577,2273,Transformer,"Few-shot fine-tune (5%, n=300)",0.5
0.7792,0.8378,0.8234,0.2544,0.1867,0.7456,2013,687,504,2196,Transformer,"Few-shot fine-tune (10%, n=600)",0.5
0.9032,0.9539,0.9658,0.065,0.1283,0.935,561,39,77,523,Transformer,"Full fine-tune (upper bound, 80/20)",0.5
