macro_f1,roc_auc,pr_auc,fpr,fnr,benign_recall,tn,fp,fn,tp,seed,model,strategy,threshold,n_adapt,n_val,n_test
0.7987,0.8366,0.7958,0.208,0.1947,0.792,2376,624,584,2416,11,BiLSTM,No adaptation (baseline),0.5,,,
0.7979,0.8366,0.7958,0.1793,0.2247,0.8207,2462,538,674,2326,11,BiLSTM,Threshold recalib. (t=0.70),0.7,,,
0.7922,0.8366,0.7958,0.1603,0.2543,0.8397,2519,481,763,2237,11,BiLSTM,Threshold recalib. (t=0.80),0.8,,,
0.8434,0.8926,0.896,0.1137,0.1988,0.8863,2260,290,507,2043,11,BiLSTM,"Few-shot retrain (5%, n=300)",0.5,300.0,600.0,5100.0
0.8429,0.8936,0.9101,0.1212,0.1925,0.8787,2109,291,462,1938,11,BiLSTM,"Few-shot retrain (10%, n=600)",0.5,600.0,600.0,4800.0
0.905,0.9626,0.9719,0.0933,0.0967,0.9067,272,28,29,271,11,BiLSTM,"Full fine-tune (upper bound, 80/10/10)",0.5,4800.0,600.0,600.0
0.7746,0.8523,0.859,0.146,0.302,0.854,2562,438,906,2094,11,Transformer,No adaptation (baseline),0.5,,,
0.7722,0.8523,0.859,0.13,0.3213,0.87,2610,390,964,2036,11,Transformer,Threshold recalib. (t=0.70),0.7,,,
0.7693,0.8523,0.859,0.1227,0.3337,0.8773,2632,368,1001,1999,11,Transformer,Threshold recalib. (t=0.80),0.8,,,
0.808,0.872,0.9001,0.1925,0.1914,0.8075,2059,491,488,2062,11,Transformer,"Few-shot retrain (5%, n=300)",0.5,300.0,600.0,5100.0
0.8137,0.8809,0.908,0.19,0.1825,0.81,1944,456,438,1962,11,Transformer,"Few-shot retrain (10%, n=600)",0.5,600.0,600.0,4800.0
0.9116,0.96,0.9697,0.0733,0.1033,0.9267,278,22,31,269,11,Transformer,"Full fine-tune (upper bound, 80/10/10)",0.5,4800.0,600.0,600.0
0.7987,0.8366,0.7958,0.208,0.1947,0.792,2376,624,584,2416,22,BiLSTM,No adaptation (baseline),0.5,,,
0.7979,0.8366,0.7958,0.1793,0.2247,0.8207,2462,538,674,2326,22,BiLSTM,Threshold recalib. (t=0.70),0.7,,,
0.7922,0.8366,0.7958,0.1603,0.2543,0.8397,2519,481,763,2237,22,BiLSTM,Threshold recalib. (t=0.80),0.8,,,
0.8194,0.8801,0.8933,0.1761,0.1851,0.8239,2101,449,472,2078,22,BiLSTM,"Few-shot retrain (5%, n=300)",0.5,300.0,600.0,5100.0
0.8292,0.8776,0.8778,0.135,0.2062,0.865,2076,324,495,1905,22,BiLSTM,"Few-shot retrain (10%, n=600)",0.5,600.0,600.0,4800.0
0.8945,0.9421,0.9583,0.0367,0.1733,0.9633,289,11,52,248,22,BiLSTM,"Full fine-tune (upper bound, 80/10/10)",0.5,4800.0,600.0,600.0
0.7746,0.8523,0.859,0.146,0.302,0.854,2562,438,906,2094,22,Transformer,No adaptation (baseline),0.5,,,
0.7722,0.8523,0.859,0.13,0.3213,0.87,2610,390,964,2036,22,Transformer,Threshold recalib. (t=0.70),0.7,,,
0.7693,0.8523,0.859,0.1227,0.3337,0.8773,2632,368,1001,1999,22,Transformer,Threshold recalib. (t=0.80),0.8,,,
0.8049,0.8716,0.8973,0.2106,0.1796,0.7894,2013,537,458,2092,22,Transformer,"Few-shot retrain (5%, n=300)",0.5,300.0,600.0,5100.0
0.8153,0.8813,0.9091,0.205,0.1642,0.795,1908,492,394,2006,22,Transformer,"Few-shot retrain (10%, n=600)",0.5,600.0,600.0,4800.0
0.8948,0.9559,0.9664,0.0633,0.1467,0.9367,281,19,44,256,22,Transformer,"Full fine-tune (upper bound, 80/10/10)",0.5,4800.0,600.0,600.0
0.7987,0.8366,0.7958,0.208,0.1947,0.792,2376,624,584,2416,33,BiLSTM,No adaptation (baseline),0.5,,,
0.7979,0.8366,0.7958,0.1793,0.2247,0.8207,2462,538,674,2326,33,BiLSTM,Threshold recalib. (t=0.70),0.7,,,
0.7922,0.8366,0.7958,0.1603,0.2543,0.8397,2519,481,763,2237,33,BiLSTM,Threshold recalib. (t=0.80),0.8,,,
0.8303,0.8912,0.8998,0.149,0.1902,0.851,2170,380,485,2065,33,BiLSTM,"Few-shot retrain (5%, n=300)",0.5,300.0,600.0,5100.0
0.8124,0.8747,0.8839,0.1621,0.2129,0.8379,2011,389,511,1889,33,BiLSTM,"Few-shot retrain (10%, n=600)",0.5,600.0,600.0,4800.0
0.9266,0.9604,0.9727,0.0367,0.11,0.9633,289,11,33,267,33,BiLSTM,"Full fine-tune (upper bound, 80/10/10)",0.5,4800.0,600.0,600.0
0.7746,0.8523,0.859,0.146,0.302,0.854,2562,438,906,2094,33,Transformer,No adaptation (baseline),0.5,,,
0.7722,0.8523,0.859,0.13,0.3213,0.87,2610,390,964,2036,33,Transformer,Threshold recalib. (t=0.70),0.7,,,
0.7693,0.8523,0.859,0.1227,0.3337,0.8773,2632,368,1001,1999,33,Transformer,Threshold recalib. (t=0.80),0.8,,,
0.8012,0.8707,0.9005,0.2102,0.1875,0.7898,2014,536,478,2072,33,Transformer,"Few-shot retrain (5%, n=300)",0.5,300.0,600.0,5100.0
0.8206,0.8799,0.9079,0.1746,0.1842,0.8254,1981,419,442,1958,33,Transformer,"Few-shot retrain (10%, n=600)",0.5,600.0,600.0,4800.0
0.9081,0.9476,0.9635,0.04,0.1433,0.96,288,12,43,257,33,Transformer,"Full fine-tune (upper bound, 80/10/10)",0.5,4800.0,600.0,600.0
0.7987,0.8366,0.7958,0.208,0.1947,0.792,2376,624,584,2416,42,BiLSTM,No adaptation (baseline),0.5,,,
0.7979,0.8366,0.7958,0.1793,0.2247,0.8207,2462,538,674,2326,42,BiLSTM,Threshold recalib. (t=0.70),0.7,,,
0.7922,0.8366,0.7958,0.1603,0.2543,0.8397,2519,481,763,2237,42,BiLSTM,Threshold recalib. (t=0.80),0.8,,,
0.8412,0.8835,0.8973,0.1255,0.1918,0.8745,2230,320,489,2061,42,BiLSTM,"Few-shot retrain (5%, n=300)",0.5,300.0,600.0,5100.0
0.7818,0.8561,0.8416,0.24,0.1962,0.76,1824,576,471,1929,42,BiLSTM,"Few-shot retrain (10%, n=600)",0.5,600.0,600.0,4800.0
0.9114,0.9587,0.9697,0.0367,0.14,0.9633,289,11,42,258,42,BiLSTM,"Full fine-tune (upper bound, 80/10/10)",0.5,4800.0,600.0,600.0
0.7746,0.8523,0.859,0.146,0.302,0.854,2562,438,906,2094,42,Transformer,No adaptation (baseline),0.5,,,
0.7722,0.8523,0.859,0.13,0.3213,0.87,2610,390,964,2036,42,Transformer,Threshold recalib. (t=0.70),0.7,,,
0.7693,0.8523,0.859,0.1227,0.3337,0.8773,2632,368,1001,1999,42,Transformer,Threshold recalib. (t=0.80),0.8,,,
0.8116,0.8725,0.9058,0.1792,0.1976,0.8208,2093,457,504,2046,42,Transformer,"Few-shot retrain (5%, n=300)",0.5,300.0,600.0,5100.0
0.8216,0.8758,0.9091,0.1662,0.1904,0.8337,2001,399,457,1943,42,Transformer,"Few-shot retrain (10%, n=600)",0.5,600.0,600.0,4800.0
0.9031,0.96,0.9709,0.0467,0.1467,0.9533,286,14,44,256,42,Transformer,"Full fine-tune (upper bound, 80/10/10)",0.5,4800.0,600.0,600.0
0.7987,0.8366,0.7958,0.208,0.1947,0.792,2376,624,584,2416,44,BiLSTM,No adaptation (baseline),0.5,,,
0.7979,0.8366,0.7958,0.1793,0.2247,0.8207,2462,538,674,2326,44,BiLSTM,Threshold recalib. (t=0.70),0.7,,,
0.7922,0.8366,0.7958,0.1603,0.2543,0.8397,2519,481,763,2237,44,BiLSTM,Threshold recalib. (t=0.80),0.8,,,
0.8338,0.8867,0.9013,0.1235,0.2082,0.8765,2235,315,531,2019,44,BiLSTM,"Few-shot retrain (5%, n=300)",0.5,300.0,600.0,5100.0
0.8478,0.8998,0.9245,0.0933,0.21,0.9067,2176,224,504,1896,44,BiLSTM,"Few-shot retrain (10%, n=600)",0.5,600.0,600.0,4800.0
0.9082,0.9486,0.9636,0.0533,0.13,0.9467,284,16,39,261,44,BiLSTM,"Full fine-tune (upper bound, 80/10/10)",0.5,4800.0,600.0,600.0
0.7746,0.8523,0.859,0.146,0.302,0.854,2562,438,906,2094,44,Transformer,No adaptation (baseline),0.5,,,
