model,strategy,threshold,seed_count,n_adapt,n_val,n_test,macro_f1_mean,roc_auc_mean,pr_auc_mean,fpr_mean,fnr_mean,macro_f1_std,roc_auc_std,pr_auc_std,fpr_std,fnr_std
BiLSTM,"Few-shot retrain (10%, n=600)",0.5,6,600.0,600.0,4800.0,0.8234666666666667,0.8806666666666666,0.8883833333333334,0.14936666666666668,0.20325000000000001,0.023965280442061688,0.015389823477436868,0.028680824023494624,0.05008491456183855,0.007937946837816434
BiLSTM,"Few-shot retrain (5%, n=300)",0.5,6,300.0,600.0,5100.0,0.8352166666666667,0.8878,0.9002166666666667,0.13646666666666665,0.19275,0.009411145874263453,0.005245950819441601,0.007135661613800546,0.02264726620735198,0.009469477282300224
BiLSTM,"Full fine-tune (upper bound, 80/10/10)",0.5,6,4800.0,600.0,600.0,0.9089833333333334,0.9539166666666666,0.9670333333333333,0.05223333333333333,0.12945,0.010421596166934612,0.007951708411823638,0.0055142240312365575,0.022051817763319798,0.026430493752482194
BiLSTM,No adaptation (baseline),0.5,6,,,,0.7986999999999999,0.8366000000000001,0.7958,0.208,0.1947,0.0,0.0,0.0,0.0,0.0
BiLSTM,Threshold recalib. (t=0.70),0.7,6,,,,0.7978999999999999,0.8366000000000001,0.7958,0.1793,0.2247,0.0,0.0,0.0,0.0,0.0
BiLSTM,Threshold recalib. (t=0.80),0.8,6,,,,0.7921999999999999,0.8366000000000001,0.7958,0.1603,0.2543,0.0,0.0,0.0,0.0,0.0
Transformer,"Few-shot retrain (10%, n=600)",0.5,6,600.0,600.0,4800.0,0.8180666666666667,0.8800500000000001,0.9097666666666667,0.18206666666666668,0.18168333333333334,0.003517764441611574,0.002742079502859112,0.00286193407797362,0.019867427278504546,0.014156188281690327
Transformer,"Few-shot retrain (5%, n=300)",0.5,6,300.0,600.0,5100.0,0.8039333333333333,0.8696,0.8986833333333334,0.19848333333333334,0.1936,0.005631932764750161,0.0034228642976314692,0.0051320236424501,0.01803268329081023,0.012999230746471111
Transformer,"Full fine-tune (upper bound, 80/10/10)",0.5,6,4800.0,600.0,600.0,0.9042166666666667,0.9537833333333333,0.9660833333333333,0.051666666666666666,0.13945,0.005845140431731861,0.005637877851343247,0.003617964436899093,0.017069817417496493,0.01926984691169081
Transformer,No adaptation (baseline),0.5,6,,,,0.7746,0.8523,0.859,0.146,0.302,0.0,0.0,0.0,0.0,0.0
Transformer,Threshold recalib. (t=0.70),0.7,6,,,,0.7722000000000001,0.8523,0.859,0.13,0.3213,0.0,0.0,0.0,0.0,0.0
Transformer,Threshold recalib. (t=0.80),0.8,6,,,,0.7693,0.8523,0.859,0.12269999999999999,0.33370000000000005,0.0,0.0,0.0,0.0,0.0
