Model,Strategy,Macro-F1,ROC-AUC,FPR,FNR,Seeds,n_adapt,n_val,n_test
BiLSTM,No adaptation (baseline),0.799 ± 0.000,0.837 ± 0.000,0.208 ± 0.000,0.195 ± 0.000,6,,,
BiLSTM,Threshold recalib. (t=0.70),0.798 ± 0.000,0.837 ± 0.000,0.179 ± 0.000,0.225 ± 0.000,6,,,
BiLSTM,Threshold recalib. (t=0.80),0.792 ± 0.000,0.837 ± 0.000,0.160 ± 0.000,0.254 ± 0.000,6,,,
BiLSTM,"Few-shot retrain (5%, n=300)",0.835 ± 0.009,0.888 ± 0.005,0.136 ± 0.023,0.193 ± 0.009,6,300,600,5100
BiLSTM,"Few-shot retrain (10%, n=600)",0.823 ± 0.024,0.881 ± 0.015,0.149 ± 0.050,0.203 ± 0.008,6,600,600,4800
BiLSTM,"Full fine-tune (upper bound, 80/10/10)",0.909 ± 0.010,0.954 ± 0.008,0.052 ± 0.022,0.129 ± 0.026,6,4800,600,600
Transformer,No adaptation (baseline),0.775 ± 0.000,0.852 ± 0.000,0.146 ± 0.000,0.302 ± 0.000,6,,,
Transformer,Threshold recalib. (t=0.70),0.772 ± 0.000,0.852 ± 0.000,0.130 ± 0.000,0.321 ± 0.000,6,,,
Transformer,Threshold recalib. (t=0.80),0.769 ± 0.000,0.852 ± 0.000,0.123 ± 0.000,0.334 ± 0.000,6,,,
Transformer,"Few-shot retrain (5%, n=300)",0.804 ± 0.006,0.870 ± 0.003,0.198 ± 0.018,0.194 ± 0.013,6,300,600,5100
Transformer,"Few-shot retrain (10%, n=600)",0.818 ± 0.004,0.880 ± 0.003,0.182 ± 0.020,0.182 ± 0.014,6,600,600,4800
Transformer,"Full fine-tune (upper bound, 80/10/10)",0.904 ± 0.006,0.954 ± 0.006,0.052 ± 0.017,0.139 ± 0.019,6,4800,600,600
