macro_f1,roc_auc,pr_auc,fpr,fnr,benign_recall,tn,fp,fn,tp,seed,model,strategy,threshold,n_adapt,n_val,n_test
0.7987,0.8366,0.7958,0.208,0.1947,0.792,2376,624,584,2416,55,BiLSTM,No adaptation (baseline),0.5,,,
0.7979,0.8366,0.7958,0.1793,0.2247,0.8207,2462,538,674,2326,55,BiLSTM,Threshold recalib. (t=0.70),0.7,,,
0.7922,0.8366,0.7958,0.1603,0.2543,0.8397,2519,481,763,2237,55,BiLSTM,Threshold recalib. (t=0.80),0.8,,,
0.8432,0.8927,0.9136,0.131,0.1824,0.869,2216,334,465,2085,55,BiLSTM,"Few-shot retrain (5%, n=300)",0.5,300.0,600.0,5100.0
0.8267,0.8822,0.8924,0.1446,0.2017,0.8554,2053,347,484,1916,55,BiLSTM,"Few-shot retrain (10%, n=600)",0.5,600.0,600.0,4800.0
0.9082,0.9511,0.966,0.0567,0.1267,0.9433,283,17,38,262,55,BiLSTM,"Full fine-tune (upper bound, 80/10/10)",0.5,4800.0,600.0,600.0
0.7746,0.8523,0.859,0.146,0.302,0.854,2562,438,906,2094,55,Transformer,No adaptation (baseline),0.5,,,
0.7722,0.8523,0.859,0.13,0.3213,0.87,2610,390,964,2036,55,Transformer,Threshold recalib. (t=0.70),0.7,,,
0.7693,0.8523,0.859,0.1227,0.3337,0.8773,2632,368,1001,1999,55,Transformer,Threshold recalib. (t=0.80),0.8,,,
0.7954,0.8668,0.8983,0.2208,0.1882,0.7792,1987,563,480,2070,55,Transformer,"Few-shot retrain (5%, n=300)",0.5,300.0,600.0,5100.0
0.8158,0.8839,0.9155,0.2012,0.1671,0.7987,1917,483,401,1999,55,Transformer,"Few-shot retrain (10%, n=600)",0.5,600.0,600.0,4800.0
0.9062,0.951,0.9643,0.0267,0.16,0.9733,292,8,48,252,55,Transformer,"Full fine-tune (upper bound, 80/10/10)",0.5,4800.0,600.0,600.0
