macro_f1,roc_auc,pr_auc,fpr,fnr,benign_recall,tn,fp,fn,tp,model,strategy,threshold,cv_std
0.5869,0.6638,0.6141,0.5783,0.2217,0.4217,1265.0,1735.0,665.0,2335.0,LogisticRegression,No adaptation (baseline),0.5,
0.6169,0.6638,0.6141,0.483,0.275,0.517,1551.0,1449.0,825.0,2175.0,LogisticRegression,Threshold recalib. (t=0.70),0.7,
0.627,0.6638,0.6141,0.439,0.3037,0.561,1683.0,1317.0,911.0,2089.0,LogisticRegression,Threshold recalib. (t=0.80),0.8,
0.6851,0.7179,0.67,0.3937,0.232,0.6063,1819.0,1181.0,696.0,2304.0,LogisticRegression,Drift-feature excl. (K=10),0.5,
0.6891,0.7165,0.698,0.3203,0.3013,0.6797,2039.0,961.0,904.0,2096.0,LogisticRegression,Drift-feature excl. (K=20),0.5,
0.7062,0.7362,0.6922,0.3343,0.2523,0.6657,1997.0,1003.0,757.0,2243.0,LogisticRegression,Drift-feature excl. (K=30),0.5,
0.7038,0.8524,0.8921,0.4004,0.1853,0.5996,1709.0,1141.0,528.0,2322.0,LogisticRegression,"Few-shot retrain (5%, n=300)",0.5,
0.7239,0.8587,0.8942,0.3589,0.1893,0.6411,1731.0,969.0,511.0,2189.0,LogisticRegression,"Few-shot retrain (10%, n=600)",0.5,
0.8704,,,,,,,,,,LogisticRegression,"Full retrain (upper bound, CV)",0.5,0.0014
0.6446,0.7409,0.6785,0.5743,0.0957,0.4257,1277.0,1723.0,287.0,2713.0,RandomForest,No adaptation (baseline),0.5,
0.7187,0.7409,0.6785,0.3783,0.1787,0.6217,1865.0,1135.0,536.0,2464.0,RandomForest,Threshold recalib. (t=0.70),0.7,
0.6562,0.7409,0.6785,0.2207,0.4573,0.7793,2338.0,662.0,1372.0,1628.0,RandomForest,Threshold recalib. (t=0.80),0.8,
0.6389,0.7344,0.677,0.58,0.1007,0.42,1260.0,1740.0,302.0,2698.0,RandomForest,Drift-feature excl. (K=10),0.5,
