feature,benign_jsd
log1p_file_read_sensitive,0.585351
log1p_file_write,0.582209
log1p_reflection_invoke,0.516527
early_file_write_flag,0.492046
has_evasion_pattern,0.440723
has_exfil_pattern,0.430731
anti_to_total_ratio,0.395803
log1p_shared_prefs_write,0.357493
bindService_count,0.345767
early_anti_analysis_flag,0.307839
log1p_stack_trace_inspect,0.275603
has_persistence_pattern,0.271141
root_check_count,0.26895
job_scheduler_count,0.259684
delta_network_after_file,0.252348
log1p_dns_lookup,0.237092
rapid_burst_flag,0.228763
early_network_flag,0.223306
stack_trace_inspect_count,0.221352
anti_analysis_score,0.209515
first_network_ms,0.196482
burst_peak_count,0.188927
has_crypto_and_network,0.182059
early_crypto_flag,0.180426
first_file_write_ms,0.176533
sleep_call_count,0.169788
session_duration_ms,0.16509
first_anti_analysis_ms,0.161532
anti_analysis_score_per_sec,0.152586
dynamic_class_load_count,0.150815
has_privilege_escalation,0.140694
http_get_count,0.135429
first_dynamic_load_ms,0.133872
delta_network_after_crypto,0.129178
delta_reflection_after_dex,0.124986
setComponentEnabled_count,0.122471
reflection_to_exec_ratio,0.121008
crypto_rate,0.118605
crypto_before_network,0.11707
stealth_score,0.116797
base64_dec_count,0.115214
hash_md5_count,0.114497
dynamic_exec_score,0.112332
reflection_invoke_count,0.11204
anti_analysis_rate,0.111231
crypto_to_network_ratio,0.105793
cipher_init_count,0.105367
cipher_aes_count,0.104805
debugger_check_count,0.099483
http_post_count,0.097708
rsa_count,0.095745
first_crypto_ms,0.088847
openFileOutput_count,0.088406
thread_create_count,0.088178
system_exit_attempt,0.085706
dex_class_loader_count,0.085304
stealth_score_per_sec,0.083619
secure_random_count,0.079377
dynamic_exec_score_per_sec,0.079331
reflection_rate,0.079331
early_exec_flag,0.07785
secret_key_gen_count,0.073906
class_loader_parent_count,0.071787
file_write_rate,0.07156
dynamic_load_rate,0.063722
emulator_check_count,0.063014
aes_encrypt_count,0.062801
native_lib_load_count,0.062773
first_exec_ms,0.059644
first_reflection_ms,0.057581
delta_exec_after_reflection,0.057112
alarm_manager_set_count,0.056386
runtime_exec_count,0.050748
socket_create_count,0.04942
getExternalStorageDirectory_count,0.046123
location_gps_count,0.045788
clipboard_read_count,0.039982
hash_sha_count,0.039927
content_resolver_query_count,0.039658
accessibility_query_count,0.038304
ssl_bypass_count,0.038185
ssl_bypass_attempt,0.038185
getDeviceId_count,0.033782
process_list_query_count,0.032262
write_to_read_ratio,0.029936
file_delete_count,0.029282
deleteFile_count,0.029282
content_resolver_insert_count,0.028632
websocket_count,0.028449
file_write_count,0.027855
file_read_sensitive_count,0.027855
network_score_per_sec,0.0278
network_events_rate,0.0278
exfil_score,0.026104
pkg_enum_count,0.025872
url_connection_count,0.025835
foreground_service_count,0.025193
network_score,0.022651
network_to_activity_ratio,0.022651
location_net_count,0.022274
requestPermission_count,0.021502
privilege_score,0.021502
getSubscriberId_count,0.020823
implicit_intent_count,0.01862
getPackageInfo_count,0.01862
surveillance_score,0.01862
clipboard_write_count,0.017554
dns_lookup_count,0.016793
call_log_count,0.015967
session_anomaly_flag,0.015202
base64_enc_count,0.015202
base64_encode_count,0.015202
shared_prefs_write_count,0.015202
sms_read_count,0.012117
sendBroadcast_count,0.010749
startActivity_count,0.010749
register_receiver_count,0.010749
persistence_score,0.010749
mic_record_count,0.00694
first_sms_ms,0.00694
sendTextMessage_count,0.00694
string_decrypt_count,0.0
verify_attempt_count,0.0
cipher_des_count,0.0
pkg_install_count,0.0
overlay_window_count,0.0
native_method_register_count,0.0
memory_alloc_large_count,0.0
setRequestProperty_count,0.0
camera_open_count,0.0
input_inject_count,0.0
screen_capture_count,0.0
acc_window_count,0.0
has_sms_exfil,0.0
has_full_spy_pattern,0.0
acc_action_count,0.0
notif_listen_count,0.0
seq_reflect_before_exec,0.0
seq_crypto_before_network,0.0
seq_root_check_before_exit,0.0
seq_dex_then_reflect,0.0
seq_anti_before_payload,0.0
seq_file_then_network,0.0
seq_contact_then_sms,0.0
seq_triple_chain_count,0.0
seq_max_chain_length,0.0
seq_alternating_crypto_net,0.0
seq_reflect_exec_count,0.0
seq_dex_reflect_count,0.0
seq_file_network_count,0.0
seq_crypto_network_count,0.0
seq_anti_exec_count,0.0
seq_first_reflect_exec_ms,0.0
seq_first_dex_reflect_ms,0.0
seq_first_file_network_ms,0.0
seq_first_crypto_network_ms,0.0
seq_first_anti_exec_ms,0.0
seq_surveil_before_network,0.0
seq_persist_before_exec,0.0
seq_clipboard_before_network,0.0
seq_overlay_before_network,0.0
seq_surveil_network_count,0.0
seq_clipboard_network_count,0.0
seq_first_surveil_network_ms,0.0
seq_first_clipboard_network_ms,0.0
