epoch,train_loss,val_loss,accuracy,macro_f1,precision,recall,roc_auc,pr_auc,tn,fp,fn,tp,seconds
1,0.372820509335574,0.23690420401096343,0.9106666666666666,0.91066603140289,0.9128686327077749,0.908,0.9642720000000001,0.9643354874211585,685,65,69,681,2.947005271911621
2,0.2174683769310222,0.21215173496802647,0.9206666666666666,0.9206666314073917,0.9212283044058746,0.92,0.9713422222222222,0.975055775996143,691,59,60,690,3.036147356033325
3,0.19195009289068335,0.1694347050388654,0.9373333333333334,0.937326202447923,0.946866485013624,0.9266666666666666,0.9816231111111111,0.9843160291777606,711,39,55,695,3.2041244506835938
4,0.15192095071427963,0.18643535580237708,0.94,0.9399529230917039,0.9661016949152542,0.912,0.9802684444444444,0.9799831893806903,726,24,66,684,4.24798059463501
5,0.13320021602686713,0.15049708618720373,0.9506666666666667,0.9506382342896175,0.9733893557422969,0.9266666666666666,0.9852906666666665,0.9873643206996895,731,19,55,695,3.3235220909118652
6,0.11461620353951174,0.14583823585510253,0.9506666666666667,0.9506595616435434,0.9617486338797814,0.9386666666666666,0.9867644444444444,0.9887251472613536,722,28,46,704,3.4354732036590576
7,0.09851497380873736,0.13194746301571528,0.9526666666666667,0.9526661407348971,0.9496688741721855,0.956,0.9885120000000001,0.990560886882241,712,38,33,717,3.4176530838012695
8,0.07991362015640034,0.14021105196078618,0.9566666666666667,0.9566657229424107,0.9609690444145357,0.952,0.9875964444444445,0.9894791873024222,721,29,36,714,3.247081995010376
9,0.06803713262212627,0.1372825043996175,0.9586666666666667,0.9586660053227518,0.9623655913978495,0.9546666666666667,0.988544,0.9895750940458198,722,28,34,716,3.027212619781494
10,0.052288297775913685,0.14314399861296018,0.954,0.9539983439403819,0.9595141700404858,0.948,0.9881262222222224,0.9901269746222984,720,30,39,711,3.289299726486206
11,0.03660487451535814,0.15109350296854973,0.958,0.9579999813333251,0.9573901464713716,0.9586666666666667,0.9878382222222222,0.9893000341488507,718,32,31,719,3.3019821643829346
12,0.024202517237733392,0.15781172808011373,0.96,0.9599988621898579,0.9649595687331537,0.9546666666666667,0.9879342222222223,0.9899124510688877,724,26,34,716,3.1794350147247314
13,0.018974793865400203,0.18150198725859323,0.9593333333333334,0.9593333152592511,0.9587217043941412,0.96,0.986808,0.9891472029068763,719,31,30,720,3.038922071456909
14,0.01487564942240715,0.17490774191419284,0.956,0.9559987484088437,0.9511873350923483,0.9613333333333334,0.9868657777777777,0.9887498971543546,713,37,29,721,3.0895180702209473
