epoch,train_loss,val_loss,accuracy,macro_f1,precision,recall,roc_auc,pr_auc,tn,fp,fn,tp,seconds
1,0.33529074774068945,0.2459478409687678,0.9146666666666666,0.9146483065690575,0.9028497409326425,0.9293333333333333,0.9642791111111111,0.9658397161497534,675,75,53,697,6.45200777053833
2,0.21121676239546608,0.18798288015524547,0.934,0.9339894089673944,0.945280437756498,0.9213333333333333,0.9774986666666667,0.9801689558067287,710,40,59,691,6.56689453125
3,0.16690091852931416,0.1609334692955017,0.9426666666666667,0.9426601426651211,0.952316076294278,0.932,0.9825208888888888,0.9848257246459002,715,35,51,699,6.630907297134399
4,0.1403616503126481,0.144482268234094,0.9446666666666667,0.9446660518450205,0.9476510067114094,0.9413333333333334,0.9855288888888889,0.9863719072256268,711,39,44,706,6.592714548110962
5,0.12232013554082197,0.13472778908411662,0.9506666666666667,0.9506652633674912,0.9555256064690026,0.9453333333333334,0.9865911111111111,0.9874491884869726,717,33,41,709,6.729482173919678
6,0.10198632241697872,0.12844527246554693,0.95,0.9499994444382716,0.9530201342281879,0.9466666666666667,0.9878115555555556,0.9883338597144093,715,35,40,710,6.560515403747559
7,0.08900595702143277,0.13544552260637283,0.9513333333333334,0.9513322734583998,0.955585464333782,0.9466666666666667,0.9881386666666666,0.9886617922473085,717,33,40,710,6.690388202667236
8,0.08028998594424304,0.13994515832265217,0.9553333333333334,0.9552894374966356,0.9857752489331437,0.924,0.9896462222222222,0.9901469138484552,740,10,57,693,6.713062763214111
9,0.06361483927334056,0.14452721564968427,0.9566666666666667,0.9566661851798354,0.959731543624161,0.9533333333333334,0.988488888888889,0.9897847040162975,720,30,35,715,6.662173748016357
10,0.06823627577108496,0.12716750100255012,0.9593333333333334,0.9593292662599593,0.9687074829931973,0.9493333333333334,0.9891964444444444,0.9898674422272263,727,23,38,712,6.671435832977295
11,0.04843594933432691,0.13915893849730493,0.96,0.9599897573778887,0.9752066115702479,0.944,0.9871982222222223,0.9882298087400663,732,18,42,708,6.700384616851807
12,0.034963963334612984,0.13749905016024908,0.9626666666666667,0.9626642771804061,0.9701897018970189,0.9546666666666667,0.9905493333333335,0.9905895084925646,728,22,34,716,6.888683319091797
13,0.02577517982868149,0.1588856773376465,0.958,0.9579932602519782,0.9699042407660738,0.9453333333333334,0.9880266666666666,0.9893328989613595,728,22,41,709,6.561750411987305
14,0.025472930538303712,0.15627853629986446,0.9593333333333334,0.9593324476844163,0.9636608344549125,0.9546666666666667,0.9898595555555555,0.990363228737683,723,27,34,716,6.745210409164429
15,0.021815176148624982,0.17361996019383272,0.954,0.9539965446293521,0.9620081411126187,0.9453333333333334,0.9889564444444444,0.9901530582882864,722,28,41,709,6.72362756729126
16,0.016751812809530427,0.1725025023917357,0.956,0.9559992959887358,0.9596774193548387,0.952,0.989447111111111,0.990527816285021,720,30,36,714,6.66630482673645
17,0.012857883984661278,0.18929545243581136,0.9586666666666667,0.9586593172119489,0.9712328767123287,0.9453333333333334,0.9885502222222222,0.9900138519922512,729,21,41,709,6.661351680755615
