model,feature,importance
RandomForest,session_duration_ms,0.09016365525115738
RandomForest,accessibility_query_count,0.07450189206198478
RandomForest,burst_peak_count,0.06962378430107338
RandomForest,getDeviceId_count,0.05874571649863724
RandomForest,surveillance_score,0.05076072162284343
RandomForest,anti_analysis_score_per_sec,0.038885748027712004
RandomForest,exfil_score,0.031947656029298714
RandomForest,stealth_score_per_sec,0.02979286054558213
RandomForest,implicit_intent_count,0.028343032972641128
RandomForest,anti_to_total_ratio,0.02561100057783949
RandomForest,hash_md5_count,0.02524434156210754
RandomForest,file_write_rate,0.02351889964502831
RandomForest,first_network_ms,0.021339971171521786
RandomForest,network_score_per_sec,0.0208589120265327
RandomForest,network_events_rate,0.019865300779226186
RandomForest,rapid_burst_flag,0.017967508086192248
RandomForest,network_to_activity_ratio,0.016924894411223832
RandomForest,network_score,0.016235971517208264
RandomForest,dynamic_load_rate,0.014962813991639533
RandomForest,stealth_score,0.014841872167009473
RandomForest,shared_prefs_write_count,0.013973031805449175
RandomForest,dns_lookup_count,0.012214896549839899
RandomForest,log1p_dns_lookup,0.012184840217592353
RandomForest,log1p_shared_prefs_write,0.011519555607697953
RandomForest,socket_create_count,0.011129279648436761
ExtraTrees,session_duration_ms,0.14785057688324207
ExtraTrees,rapid_burst_flag,0.05854453237660394
ExtraTrees,early_file_write_flag,0.04425381320296639
ExtraTrees,log1p_shared_prefs_write,0.038016015246591116
ExtraTrees,early_network_flag,0.0365031559304206
ExtraTrees,anti_to_total_ratio,0.03548886977562012
ExtraTrees,has_evasion_pattern,0.029591107226059694
ExtraTrees,burst_peak_count,0.029239981568223692
ExtraTrees,accessibility_query_count,0.02869108501147305
ExtraTrees,getDeviceId_count,0.02725680912800783
ExtraTrees,first_dynamic_load_ms,0.02416440604713973
ExtraTrees,log1p_file_write,0.021090536875070613
ExtraTrees,implicit_intent_count,0.020295661857917157
ExtraTrees,first_network_ms,0.019705402345602707
ExtraTrees,log1p_file_read_sensitive,0.019061202742281357
ExtraTrees,surveillance_score,0.016649801811523146
ExtraTrees,log1p_dns_lookup,0.01632890753548586
ExtraTrees,anti_analysis_score_per_sec,0.015255933392147234
ExtraTrees,system_exit_attempt,0.013991091056114973
ExtraTrees,bindService_count,0.013686138895248258
ExtraTrees,has_crypto_and_network,0.01270532024526566
ExtraTrees,hash_md5_count,0.011479141083168096
ExtraTrees,getPackageInfo_count,0.011183141103592658
ExtraTrees,native_lib_load_count,0.010402519945415774
ExtraTrees,early_crypto_flag,0.010067182204778749
XGBoost,getDeviceId_count,0.2746393084526062
XGBoost,cipher_init_count,0.04855712130665779
XGBoost,first_dynamic_load_ms,0.041488852351903915
XGBoost,native_lib_load_count,0.034085921943187714
XGBoost,log1p_reflection_invoke,0.02669067122042179
XGBoost,session_duration_ms,0.026609469205141068
XGBoost,dynamic_class_load_count,0.024894051253795624
XGBoost,early_crypto_flag,0.02347489818930626
XGBoost,file_write_rate,0.02222646027803421
XGBoost,surveillance_score,0.02064918912947178
XGBoost,hash_md5_count,0.02030383236706257
XGBoost,crypto_rate,0.017919886857271194
XGBoost,accessibility_query_count,0.0176859050989151
XGBoost,first_crypto_ms,0.017663171514868736
XGBoost,exfil_score,0.01658007502555847
XGBoost,job_scheduler_count,0.015595560893416405
XGBoost,stealth_score_per_sec,0.015530070289969444
XGBoost,dynamic_load_rate,0.011986512690782547
XGBoost,reflection_invoke_count,0.01119311060756445
XGBoost,bindService_count,0.009988639503717422
XGBoost,implicit_intent_count,0.009694223292171955
XGBoost,getSubscriberId_count,0.009496607817709446
XGBoost,getPackageInfo_count,0.009258299134671688
XGBoost,burst_peak_count,0.008852842263877392
XGBoost,stealth_score,0.00869423896074295
